[2025-01-27 00:22:37,328](main) Filepid(/run/user/1000/srv11.pid) exists, but the process is not started! Delete filepid
[2025-01-27 10:36:51,643](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A010 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0856790>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:38:00,871](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A09 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08603a0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:38:10,981](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A010 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf0860f70>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:47:30,464](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a4ac0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:47:44,254](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A113 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08561f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 10:48:07,936](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A112 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085b790>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:14:48,031](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A011 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf086a070>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:14:56,325](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A114 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf086af70>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:15:41,010](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A014 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf085b430>: Failed to establish a new connection: [Errno 111] Connection refused')). 
[2025-01-27 23:15:48,103](run_tvsrv) Ошибка Инфотабло: возможно нет связи? HTTPConnectionPool(host='127.0.0.1', port=32109): Max retries exceeded with url: /ticket?p=7&t=%D0%A013 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fbcf08a47f0>: Failed to establish a new connection: [Errno 111] Connection refused')). 
